msData_ID	spotInd	include	name	group	class	batch	startRT_seconds	endRT_seconds	comment
20180929_0403	0	True	Spot_0	SV	unknown	4	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0403', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0404	0	True	Spot_0	QC MIX22	unknown	4	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0404', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0405	0	True	Spot_0	WB	unknown	4	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0405', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0406	0	True	Spot_0	ULW CAT	unknown	4	7.105000019	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0406', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0407	0	True	Spot_0	ULW CAT	unknown	4	7.105000019	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0407', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0408	0	True	Spot_0	ULW CAT	unknown	4	8.119999766	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0408', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0409	0	True	Spot_0	SV	unknown	4	9.135000408	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0409', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0410	0	True	Spot_0	SML CAT	unknown	4	9.135000408	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0410', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0411	0	True	Spot_0	SML CAT	unknown	4	9.135000408	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0411', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0412	0	True	Spot_0	SML CAT	unknown	4	10.15000016	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0412', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0500	0	False	Spot_0	unknown	unknown	5	2.030999959	59.87400055	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0500', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
